generation,best_fitness,mean_fitness,best_baseline_score,best_baseline_std,mean_baseline_score,mean_episode_length,best_node_count,best_connection_count,best_enabled_connection_count,species_count
87,1.5,1.128749966621399,-4.880000114440918,0.38157564401626587,-4.871250152587891,587.3724975585938,16,39,38,8
88,1.625,1.1462500095367432,-4.900000095367432,0.33166247606277466,-4.853750228881836,607.9212646484375,16,40,39,10
89,1.625,1.1512500047683716,-4.840000152587891,0.39293763041496277,-4.848750114440918,589.5675048828125,18,44,40,7
90,1.75,1.1325000524520874,-4.78000020980835,0.4599999785423279,-4.867499828338623,606.1212768554688,18,44,40,14
91,1.5,1.1662499904632568,-4.889999866485596,0.34336569905281067,-4.833749771118164,607.0549926757812,17,43,40,8
92,1.625,1.1299999952316284,-4.849999904632568,0.38405728340148926,-4.869999885559082,588.2762451171875,17,43,40,7
93,1.5,1.1887500286102295,-4.829999923706055,0.37563279271125793,-4.81125020980835,610.0712280273438,17,43,40,11
94,1.5,1.1349999904632568,-4.820000171661377,0.4331281781196594,-4.864999771118164,588.0175170898438,16,39,37,9
95,1.5,1.1362500190734863,-4.869999885559082,0.391279935836792,-4.863749980926514,587.7974853515625,16,40,39,8
96,1.625,1.158750057220459,-4.840000152587891,0.4176122844219208,-4.841249942779541,578.9500122070312,16,40,39,6
97,1.625,1.1387499570846558,-4.820000171661377,0.40938976407051086,-4.861249923706055,578.6437377929688,17,42,40,6
98,1.75,1.1449999809265137,-4.869999885559082,0.3648287355899811,-4.855000019073486,587.0562744140625,16,40,39,9
99,1.625,1.1174999475479126,-4.889999866485596,0.31288978457450867,-4.882500171661377,570.54248046875,16,40,39,7
100,1.5,1.1375000476837158,-4.840000152587891,0.39293763041496277,-4.862500190734863,590.0075073242188,16,39,37,7
